,buy_time,comment_time,days,color,size,content,score,sentiment
287,2021-09-17 21:13:53,2021-09-22 08:29:24,5,14英寸,【7nm】2021 E14|R5|16G|512GSSD,很好，电脑质感很好。,5,1
288,2021-08-23 20:42:56,2021-08-29 20:50:51,6,15.6英寸,【7nm】2021 E15|R7|16G|512GSSD,物流超快，到货后迫不及待开箱，轻薄、大屏，最主要的是运行超快！总之一句话是我想要的！,5,1
289,2021-08-27 15:44:06,2021-09-03 15:23:15,7,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,价廉物美，性价比非常高，速度很快，赠送的Office使用方便。,5,1
290,2021-09-17 16:25:44,2021-09-28 09:27:52,11,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑很好用 很满意,5,1
291,2021-12-02 19:23:40,2021-12-03 15:41:24,1,14英寸,【7nm】2021 E14|R7|16G|512GSSD,电脑收到了，非常不错哦，周年送给媳妇的礼物，她很喜欢，赞?,5,1
292,2021-08-18 00:18:50,2021-08-31 20:17:30,13,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,笔记本总体来说还可以，该本本系统流畅，外观时尚，暂未发现问题。,5,1
293,2021-08-30 17:52:04,2021-08-31 19:42:50,1,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,性价比超高的办公兼家用笔记本，圆了盼望已久的梦，值得拥有！,5,1
294,2021-08-30 10:24:30,2021-09-01 09:18:59,2,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,老爸最喜欢的款，跟十年前的比起来，真是轻薄，这款很耐看！,5,1
295,2021-09-23 16:53:06,2021-10-14 21:59:48,21,14英寸,【7nm】2021 E14|R5|16G|512GSSD,不错吧，还行,5,1
296,2021-07-30 00:01:38,2021-09-01 21:55:33,33,15.6英寸,【7nm】2021 E15|R7|16G|512GSSD,这款电脑用起来太舒服了，流畅度，清晰度都很不错性价比很高，学生党太适合了,5,1
297,2021-08-25 19:34:30,2021-10-24 22:00:53,60,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,屏幕效果拉满，就是没有背光键盘美中不足,5,1
298,2021-12-03 10:27:19,2021-12-05 16:48:38,2,14英寸,【7nm】2021 E14|R7|16G|512GSSD,电脑轻便，质感丰富，高档大气上档次，办公好帮手。,5,1
